Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1320;0;-90.9462;-13.2016;-108.541;8.1907;2301.72;4.97722;0;0;0.1;0.01;0;4.28717;1;0;-1-1;-1
1320;1;-67.7915;-31.1347;-122.312;9.91128;4078.29;6.06217;0;0;0.1;0.01;0;3.69512;0;0;-1-1;-1
1320;2;-59.3846;-6.92482;-125.646;8.27557;2374;5.03129;0;0;0.1;0.01;0;3.45424;0;0;-1-1;-1
1320;3;-39.3658;-9.32046;-126.842;8.99395;3047.47;5.54155;0;0;0.1;0.01;0;4.52289;0;0;-1-1;-1
1320;4;-47.3489;15.9111;-121.464;9.99262;4179.52;6.12165;0;0;0.1;0.01;0;5.94081;0;0;-1-1;-1
1320;5;-35.7822;-60.9049;-96.0408;2.43644;60.5834;2.31306;0;0;9.42467e-15;0.01;0;4.97149;100;0;-1-1;-1
1320;6;-15.8108;-19.9732;-125.655;8.82646;2880.37;5.42365;0;0;0.1;0.01;0;5.89524;0;0;-1-1;-1
1320;7;-24.5331;-3.86749;-126.638;8.43055;2509.9;5.14699;0;0;0.1;0.01;0;5.05101;0;0;-1-1;-1
1320;8;-23.7718;16.3023;-141.413;8.68056;2739.88;5.33967;0;0;0.1;0.01;0;2.72195;0;0;-1-1;-1
1320;9;-31.542;41.6075;-114.817;8.94547;2998.46;5.51564;0;0;0.1;0.01;0;6.7127;0;0;-1-1;-1
1320;10;-7.12004;-72.4758;-109.985;8.17816;2291.16;4.96202;0;0;0.1;0.01;0;5.57533;1;0;-1-1;-1
1320;11;-10.0841;-65.4027;-123.233;9.18218;3242.85;5.64251;0;0;0.1;0.01;0;3.01645;0;0;-1-1;-1
1320;12;-1.676;-3.40299;-111.526;8.96103;3014.13;5.49618;0;0;0.1;0.01;0;8.20417;0;0;-1-1;-1
1320;13;-11.1166;5.55078;-120.74;10.1298;4354.09;6.17463;0;0;0.1;0.01;0;8.52361;0;0;-1-1;-1
1320;14;-3.90427;30.9745;-117.413;10.1873;4428.65;6.2032;0;0;0.1;0.01;0;8.06206;0;0;-1-1;-1
1320;15;-6.45293;72.2723;-123.927;9.70516;3829.1;5.95598;0;0;0.1;0.01;0;2.35844;0;0;-1-1;-1
