simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0797266	18999	274.461
40	1232	95	0	98.1369	3.71638e-06	2.21416
80	1241	9	0	92.6109	7.02278e-16	0.00906797
120	1264	23	0	92.492	1.262e-25	3.7137e-05
160	1291	27	0	92.6053	2.11165e-35	1.52088e-07
200	1336	45	0	93.5285	3.2819e-45	6.22841e-10
240	1379	43	0	94.0924	4.70927e-55	2.55065e-12
280	1426	47	0	93.8858	6.17735e-65	1.04452e-14
320	1486	60	0	94.3913	7.3698e-75	4.27738e-17
360	1551	65	0	94.6216	8.00554e-85	1.75158e-19
400	1638	87	0	95.0521	7.89646e-95	7.17253e-22
440	1728	94	4	95.7541	6.97225e-105	2.93703e-24
480	1850	126	4	97.4595	5.49056e-115	1.20264e-26
520	1985	138	3	97.9521	3.75935e-125	4.92439e-29
560	2103	123	5	99.0547	2.22926e-135	2.01632e-31
600	2185	84	2	100.374	1.13483e-145	8.25574e-34
640	2305	124	4	101.478	4.95522e-156	3.38018e-36
680	2398	96	3	102.371	1.80617e-166	1.38391e-38
720	2422	28	4	105.871	5.52222e-177	2.20288
760	2461	41	2	102.651	1.41776e-187	0.00901837
800	2510	54	5	103.719	3.02992e-198	3.69189e-05
840	2595	86	1	103.819	5.36613e-209	1.5113e-07
880	2682	90	3	104.759	8.1065e-220	6.18642e-10
920	2765	87	4	106.447	1.03136e-230	2.53228e-12
960	2883	122	4	105.877	1.10747e-241	1.0365e-14
1000	3010	132	5	106.619	9.92573e-253	4.24241e-17
1040	3152	150	8	108.622	7.41131e-264	1.73637e-19
1080	3337	187	2	108.647	4.56984e-275	7.10649e-22
1120	3579	246	4	111.366	2.28147e-286	2.9084e-24
1160	3832	255	2	114.283	8.95652e-298	1.19024e-26
1200	4072	246	6	113.776	0	4.87076e-29
1240	4234	166	4	114.34	0	1.99314e-31
1280	4450	226	10	115.618	0	8.15555e-34
1320	4607	164	7	117.2	0	3.33689e-36
1360	4678	79	8	119.837	0	1.36522e-38
1400	4757	88	9	123.83	0	2.20146
1440	4846	101	12	120.292	0	0.00900554
1440.02	4851	6	1	0.865286	0	0.00898081
